prompt,completion
white,"日 (sun, day) + 丶 (dot)
★★★★★
5 strokes
STRONG
Onyomi
HAKU	
as in,""HACK up the white people into pieces!!! Dirty swine-eating slave-drivers!""

Mnemonic
Sun plus a dot, which we'll call, say, a blunt of marijuana, for reasons which shall become clear shortly.
RAY is a white cat, but he talks black. RAY likes to smoke a Dutch.
Picture White Ray smoking a dutch (the dot). all day .

Thus:　白

Kunyomi
しろ*い	white
★★★★★
Jukugo
面白*いおもしろい	
interesting ★★★★★ SARCFP
面 (front surface / face) + 白 (white) = 面白*い (interesting)

interesting, (in a good way) but also can mean funny (as in, laughing at you!) this deliberate ambiguity being a big thing with Japanese Sarcasm. Although in this case, fully half the time people are being serious.

白人はくじん	
white people ★★★★☆ NEO
白 (white) + 人 (person) = 白人 (white people)

white people (do the Humpty Hump, they do the humpty hump)

白黒しろくろ	
black-and-white ★☆☆☆☆ KUNKUN
白 (white) + 黒 (black) = 白黒 (black-and-white)"
everyone,"皆 everyone
比 (compare) + 白 (white)
★★★★★
9 strokes
Onyomi
KAI	
Mnemonic
I compared everyone's KITES, and I think hers is the most white.

Kunyomi
みな ( さん )	(sometimes also pronounced みんな）everyone.
★★★★★
Jukugo
皆様みんなさま	
everyone ★★★★☆ KUNKUNF
皆 (everyone) + 様 (important person) = 皆様 (everyone)

a more formal way to say ""everyone.""

Lookalikes
Meaning	Hint	Radical
皆	everyone	WHITE	白
昆	insect	SUN	陽
質	quality	BAMBOO	竹
Everyone's heels trample on WHITE people,

but the SUN shines on insects that crawl on the high QUALITY bamboo.

Meaning	Hint	Radical
賛	agree	MONEY	貝
替	substitute	DAY	日
皆	everyone	HEEL	
Two husbands agree about MONEY (i.e. it is awesome)

but every DAY they substitute one for the other in a game of wife-swapping.

Everyone has a HEEL fetish."
water,"(left radical radical)
★★★★★
4 strokes
PNPKMRSYMBOLIC
Mutants
	waterleft
Onyomi
SUI	
After 4 days in the desert, the water tasted SWEET.

Mnemonic
The vertical stroke is like a waterfall, with four drops of water splashing out from it.

Kunyomi
みず	water
★★★★★
Jukugo
水曜日すいようび	
Wednesday ★★★★★ KUN ON
水 (water) + 曜日 (day of week) = 水曜日 (Wednesday)

水着みずぎ	
swim-suit ★★★☆☆ KUNKUN
水 (water) + 着 (wear / arrive) = 水着 (swim-suit)

香水こうすい	
perfume ★★☆☆☆
香 (good smell) + 水 (water) = 香水 (perfume)

水族館すいぞくかん	
aquarium ★★☆☆☆
水 (water) + 族 (family) + 館 (big hall) = 水族館 (aquarium)

水商売みずしょうばい	
hostess clubs, host clubs,strip clubs, etc. ★★☆☆☆ KUN ON
水 (water) + 商売 (a business) = 水商売 (hostess clubs, host clubs,strip clubs, etc.)

洪水こうずい	
flood ★☆☆☆☆
洪 (flood) + 水 (water) = 洪水 (flood)

flood (be careful - the す is pronounced ず、which is really unusual.)

水滴すいてき	
drop of water ☆☆☆☆☆
水 (water) + 滴 (drip) = 水滴 (drop of water)

a drop of water

排水溝はいすいこう	
big ditch. ☆☆☆☆☆
排 (eliminate) + 水 (water) + 溝 (ditch) = 排水溝 (big ditch.)

big ditch. who cares.

Lookalikes
Meaning	Hint	Radical
氷	ice	ONE SNOWFLAKE-DOT	
水	water	NO FLAKES AT ALL	
永	forever	TWO SNOWFLAKE-DOTS	
Ice has the SNOWFLAKE on top, water doesn't. So you can say, ""Water doesn't have a SNOWFLAKE because water is warm.""
If it has been icy for ever, there are TWO SNOWFLAKES piled up on top of each other!"
spring,"白 (white) + 水 (water)
★★☆☆☆
9 strokes
PNSIDEKICKDUH
Onyomi
SEN	
as in 'SEND me to the spring, I need to get my soak on!'

Mnemonic
The pure ,white water poured out of the hot spring.

Kunyomi
いずみ	spring, as in water popping out of the earth
★☆☆☆☆
Jukugo
温泉おんせん	
hot spring bath ★★★☆☆
温 (hot or warm thing) + 泉 (spring) = 温泉 (hot spring bath)

hot spring baths (although most onsen use artificially heated water from regular wells these days)

Used In
線"
ice,"氷 ice
水 (water) + 丶 (dot)
★★★☆☆
5 strokes
Onyomi
HYOU	
as in, ' HE ONLY eats ice cream'

Mnemonic
Like water (水), but with an extra little dot in the upper left side. We will call this little dot a SNOWFLAKE, floating gently down to the surface of an icy lake in winter.

Kunyomi
こおり	ice
★★★★★
Jukugo
氷山ひょうざん	
iceberg ★☆☆☆☆
氷 (ice) + 山 (mountain) = 氷山 (iceberg)

Lookalikes
Meaning	Hint	Radical
氷	ice	ONE SNOWFLAKE-DOT	
水	water	NO FLAKES AT ALL	
永	forever	TWO SNOWFLAKE-DOTS	
Ice has the SNOWFLAKE on top, water doesn't. So you can say, ""Water doesn't have a SNOWFLAKE because water is warm.""
If it has been icy for ever, there are TWO SNOWFLAKES piled up on top of each other!

Used In
永"
forever,"氷 (ice) + 丶 (dot)
★★★☆☆
5 strokes
BETAPN
Onyomi
EI	
""Fonzie"" is the keyword for the EI onyomi, because that was his catchphrase on the show. ""EYYYY!"" Back in '78, that was the most coveted t-shirt: a half-sleeve jersey with The Fonz giving a thumbs-up and reciting EYYYY!! That's right, I'm old. Didn't ever get that shirt, neither!

Anyway, mnemonic-wise, we can now say that. . .. Fonzie has been icy cool since forever.

Mnemonic
永 consists of ice (氷） plus a dot, which we will, in a blaze of inspiration, call a second snowflake. So now we can say, ""It's been icy forever, so we have more than one snowflake. They're piled on top of each other! It's been snowing forever!""

Jukugo
永遠えいえん に	
poetic forever ★★★☆☆
永 (forever) + 遠 (far) = 永遠 (poetic forever)

the poetic 'forever'： I'll hate you forever! We shall rule the world forever!

永久えいきゅう に	
forever ★★☆☆☆
永 (forever) + 久 (been a long time) = 永久 (forever )

forever - the science word. (BOOBOO : the poetic word is 'eien'.(永遠))

Lookalikes
Meaning	Hint	Radical
氷	ice	ONE SNOWFLAKE-DOT	
水	water	NO FLAKES AT ALL	
永	forever	TWO SNOWFLAKE-DOTS	
Ice has the SNOWFLAKE on top, water doesn't. So you can say, ""Water doesn't have a SNOWFLAKE because water is warm.""
If it has been icy for ever, there are TWO SNOWFLAKES piled up on top of each other!

Used In
泳
Synonyms
forever
永久に    永遠に   "
swim,"永 (forever) +  (waterleft) Same-ON
★★★☆☆
8 strokes
SOLO
It's easy to tell apart from 永　or 氷 - since there's 2 water radicals. Because to swim you need that much water!!!
Onyomi
EI	
Mnemonic
Fonzie can swim in water for a long time!

Kunyomi
およ*ぐ	swim"
stay for the night," (waterleft) + 白 (white) Same-ON
★★★☆☆
8 strokes
Onyomi
HAKU	
Mnemonic
Make the white devils spend the night in a wet puddle. (This inn is Japanese only! )

Kunyomi
( に ) と＊まる	to stay somewhere overnight
★★★☆☆
( を ) と＊める	to let your friends crash at your house.
☆☆☆☆☆
Jukugo
一泊いっぱく	
one night's stay ★☆☆☆☆ COUNTER
一 (one) + 泊 (stay for the night) = 一泊 (one night's stay)

a COUNTER for the number of nights you stay. You use this when making a reservation at a hotel. Ippaku is , of course, one night.

二泊にはく	
to stay somewhere for two nights. ★☆☆☆☆
二 (two) + 泊 (stay for the night) = 二泊 (to stay somewhere for two nights.)

に 宿泊しゅくはく する	
stay the night ☆☆☆☆☆ NP
宿 (lodge at) + 泊 (stay for the night) = 宿泊 (stay the night)

the act of staying the night -(kind of formal; you might read it in a hotel guidebook, but you wouldn't say ""Let's 宿泊 over there, guys!"""
"juice, soup"," (waterleft) + 十 (ten) Same-ON
★★★☆☆
5 strokes
Onyomi
JUU	
as in:JEWS are frequently down with a juice called Manichewitz!

Mnemonic
There's like ten different liquids in this juice. -- lemon, pineapple, apple, and so on.

Kunyomi
しる	SUFFIX which means juice, or soup (as in味噌汁：みそしる； (miso soup)) , . . .also semen SUFABU
★★★☆☆
Jukugo
果汁かじゅう	
fruit juice ★☆☆☆☆
果 (fruit　/ result) + 汁 (juice, soup) = 果汁 (fruit juice)

Lookalikes
Meaning	Hint	Radical
汁	juice, soup	TEN	十
汗	sweat	DRY	干
I drink juices one through TEN, but I sweat until I'm DRY again."
mix," (waterleft) + 昆 (insect) Same-ON
★★★☆☆
11 strokes
DUPE
Onyomi
KON	
Mnemonic
Mix the insects in a bowl with water and some pine CONEs, for some free and fun soup!

Kunyomi
( を ) ま＊ぜる	I blend the ingredients (BOOBOO: unlike the other まぜる　（交ぜる）, this word is used for technical stuff- science or cooking.
★★★☆☆
( が ) ま＊ざる	it gets mixed
★★☆☆☆
( が ) こ＊む	to be crowded (usually in the present perfect： こんでる!)
★★★☆☆
( が ) ま＊じる	get mixed up in a situation: wrong place, wrong time.
★☆☆☆☆
Jukugo
混乱こんらん する	
confusion ★★★☆☆
混 (mix) + 乱 (disorder) = 混乱 (confusion)

What you are experiencing right now while studying Japanese!

Lookalikes
Meaning	Hint	Radical
混	mix	INSECTS	昆
潜	lurk	HUSBAND	夫
You mix INSECTS in your bug-shake (mmmm!!) but a lurking HUSBAND steals it from you. Yoink."
moon (organ),"(left radical)
★★★★★
4 strokes
PNPKJERK RADICALSYMBOLICCOUNTER
JERK RADICAL ALERT: by itself, it means month or moon, but usually as a radical it has an entirely different meaning :""organ of the body."" Some dudes will point out that the 月 Radical is actually a MUTANT RADICAL for 肉、but who cares? Stop being so pedantic with your pale ass.
BOOBOO: when you say the actual proper names of months, you pronounce it GATsu!!!That really is hard to remember.

In fact, I still mix the two up ９0％ of the time.

So, for my own benefit as much as your own, here's a mnemonic： You GOT TO leave in January, if you want your rocket to GET TO the moon.

Onyomi
GETSU	
Mnemonic
The United States had to GET TO the moon before the Russians, because whoever got freaky with Moon Bitches first would get so much rep, the other country's game would never recover.

Kunyomi
つき	the moon
★★★★★
Jukugo
三月さんがつ	
March ★★★★★ KANA
三 (three) + 月 (moon) = 三月 (March)

先月せんげつ	
last month ★★★★★
先 (earlier/ the tip) + 月 (moon) = 先月 (last month)

来月らいげつ	
next month ★★★★★
来 (come/future) + 月 (moon) = 来月 (next month)

今月こんげつ	
this month ★★★★★
今 (now) + 月 (moon) = 今月 (this month)

三ヶ月間さんかげつかん	
three months' time ★★★★☆
三 (three) + 月 (moon) + 間 (a period of time) = 三ヶ月間 (three months' time)

three months' time, three months' duration

正月しょうがつ	
the New Year ★★★☆☆
正 (correct) + 月 (moon) = 正月 (the New Year)

the New Year - (BOOBOO: in Japan, that means not just January first but the whole first week)"
big lake," (waterleft) + 古 (old) + 月 (moon/organ)
★☆☆☆☆
12 strokes
PNSOLO
Onyomi
KO	
KOdomos ( 子 ) play by the lake.

Mnemonic
The old man gets wet in the lake once a month.

Kunyomi
みずうみ"
bright,"月 (moon/organ) + 日 (sun, day)
★★★★★
8 strokes
PNDUH
Onyomi
MEI	
Mnemonic
When the sun or the moon is full, it MAY get bright!

Kunyomi
あか*るい	bright , sunny weather / person with a sunny disposition.
★★★★★
あき＊らか ( な or に )	an obvious, clear difference between two things
★★☆☆☆
Jukugo
説明せつめい する	
explain ★★★★☆
説 (explain) + 明 (bright) = 説明 (explain)

Explanation / to explain

不明ふめい な　 or の	
unknown, unclear ★★☆☆☆ NP
不 (un) + 明 (bright) = 不明 (unknown, unclear)

unknown, unclear. (the body's identity remains unknown / an unknown tribe made these carvings of your mama's ass)

明けましておめでとうあけまして おめでとう!	
Happy new year! ★☆☆☆☆ BOOBOO

Happy new year! (only noobs say this before Jan 1st. In the last part of December, we say, ""良いお年を!"" (よいおとしを!)

Used In
盟
Synonyms
evidence
証拠    証明    証    証言   "
animal fat,"旨 (the gist) Same-ON + 月 (moon/organ)
★☆☆☆☆
10 strokes
DUPE
Onyomi
SHI	
Your Moms got so much animal fat, SHE squirts lipids out of her blow-hole!

Mnemonic
Animal fat is not an organ, but you get the gist!!

Kunyomi
あぶら	animal fat
★☆☆☆☆
Jukugo
脂肪しぼう	
grease or fat ★☆☆☆☆
脂 (animal fat) + 肪 (fatty food) = 脂肪 ( grease or fat)

grease or fat (refers to both the kind used in cooking, AND the kind that makes your mama's neighbors take out earthquake insurance )

Lookalikes
Meaning	Hint	Radical
脂	animal fat	ORGAN	月
指	finger / point at	HAND	手
Animal fat is an ORGAN, but fingers are attached to your HAND.

Synonyms
fat or oil
油    脂肪   "
gall bladder / daring,"旦 (danna (husband)) Same-ON + 月 (moon/organ)
★☆☆☆☆
9 strokes
JERKSIDEKICKSAME ON
No, you won't be saying 'gallbladder' very often, but you still need this kanji to describe daring daytime bank robberies or mad ninja feats: Americans say ""That takes balls,"" but Japanese apparently say, ""That takes gallbladders!""
Onyomi
TAN	
Mnemonic
The daring husband went to the moon and came back with a good TAN.

Jukugo
大胆だいたん な	
daring or bold ★★★☆☆
大 (big) + 胆 (gall bladder / daring) = 大胆 (daring or bold)

daring or bold, - not just courageous, but taking risks when you don't need to. Not just a bank-robbery, but a bank robbery at high noon, while wearing Hirohito masks!."
morning,"十 (ten) + 早 (early) + 月 (moon/organ)
★★★★☆
12 strokes
PN
Mutants
朝	morningleft
Onyomi
CHOU	
Mnemonic
For Margaret CHO, getting up at ten AM is very early in the morning. She swears that she can still see the moon from the night before.

Kunyomi
あさ	morning
★★★★★
Jukugo
朝ごはんあさごはん	
breakfast ★★★★☆

朝日あさひ	
rising sun ★★☆☆☆ KUNKUN
朝 (morning) + 日 (sun, day) = 朝日 (rising sun)

rising sun. As in, 'land of the. . .' Also as in Asahi beer.

朝刊ちょうかん	
morning edition ★☆☆☆☆
朝 (morning) + 刊 (edition) = 朝刊 (morning edition)"
fire,"人 (person) + 丶 (dot)
★★★★★
4 strokes
PKMRSYMBOLIC
Mutants
	fireleft
	firebottom
Onyomi
KA	
as in : 'my CAR caught on fire the other day. (FYI : It was a Pinto. ) '

Mnemonic
A person on fire, surrounded by 2 sparks.

Kunyomi
ひ	flame
★★★★★
Jukugo
火曜日かようび	
Tuesday ★★★★★ KUN ON
火 (fire) + 曜日 (day of week) = 火曜日 (Tuesday)

火事かじ	
fire ★★★☆☆
火 (fire) + 事 (action/ incident) = 火事 (fire)

A fire - not like the fire in your stepdad's crackpipe; like the fire that spreads from his crackpipe and engulfs your whole trailer.

花火はなび	
fireworks ★★☆☆☆ KUNKUN
花 (flower) + 火 (fire) = 花火 (fireworks)

Used In
炎 淡 灯 点 熊 照 熟 黒 煮 焦 無 秋 黙 然 魚 煙 炊 灰 滅 炭 庶 熱 烈 災 畑 燃 焼 添 爆 為
Synonyms
fire
火事    炎    火災    火   "
